issue_date;community_area_name;unit_description;license_plate_number;violation_code;fine_amount
2010-01-01 00:00:00;BELMONT CRAGIN;CPD;00000000;0976220B;209
2010-01-03 00:00:00;NEAR WEST SIDE;DOF;00000001;0964040B;222
2010-01-05 00:00:00;AUSTIN;CPD;00000002;09;366
2010-01-07 00:00:00;NEAR WEST SIDE;CPD-Airport;00000003;0964040B;352
2010-01-09 00:00:00;LAKE VIEW;CPD-Airport;00000004;0964190;198
2010-01-11 00:00:00;BELMONT CRAGIN;CPD;00000005;0964040B;129
2010-01-13 00:00:00;AUSTIN;CPD;00000006;0964040B;423
2010-01-15 00:00:00;BELMONT CRAGIN;CPD;00000007;0976220B;262
2010-01-17 00:00:00;AUSTIN;CPD-Airport;00000008;0976220B;252
2010-01-19 00:00:00;NEAR WEST SIDE;CPD;00000009;0976220B;301
2010-01-21 00:00:00;AUSTIN;CPD-Airport;0000000a;0964190;278
2010-01-23 00:00:00;LAKE VIEW;DOF;0000000b;0976220B;213
2010-01-25 00:00:00;LAKE VIEW;CPD-Airport;0000000c;09;276
2010-01-27 00:00:00;AUSTIN;CPD-Airport;0000000d;0976210B;196
2010-01-29 00:00:00;AUSTIN;DOF;0000000e;09;69
2010-01-31 00:00:00;AUSTIN;CPD-Airport;0000000f;09;490
2010-02-02 00:00:00;AUSTIN;CPD;00000010;0976220B;451
2010-02-04 00:00:00;LAKE VIEW;CPD;00000011;0976210B;96
2010-02-06 00:00:00;BELMONT CRAGIN;CPD-Airport;00000012;0976210B;282
2010-02-08 00:00:00;AUSTIN;CPD;00000013;0976210B;354
2010-02-10 00:00:00;AUSTIN;CPD-Airport;00000014;0964190;63
2010-02-12 00:00:00;LAKE VIEW;CPD;00000015;0976220B;192
2010-02-14 00:00:00;LAKE VIEW;CPD;00000016;0976210B;464
2010-02-16 00:00:00;NEAR WEST SIDE;CPD-Airport;00000017;0964190;50
2010-02-18 00:00:00;AUSTIN;CPD;00000018;0964040B;422
2010-02-20 00:00:00;NEAR WEST SIDE;CPD-Airport;00000019;0964040B;103
2010-02-22 00:00:00;LAKE VIEW;CPD;0000001a;0964190;423
2010-02-24 00:00:00;LAKE VIEW;CPD;0000001b;0964190;308
2010-02-26 00:00:00;BELMONT CRAGIN;DOF;0000001c;0976220B;193
2010-02-28 00:00:00;AUSTIN;DOF;0000001d;0976220B;490
2010-03-02 00:00:00;NEAR WEST SIDE;CPD-Airport;0000001e;0964040B;61
2010-03-04 00:00:00;LAKE VIEW;DOF;0000001f;0976210B;379
2010-03-06 00:00:00;LAKE VIEW;CPD-Airport;00000020;0964040B;273
2010-03-08 00:00:00;NEAR WEST SIDE;DOF;00000021;0976210B;321
2010-03-10 00:00:00;BELMONT CRAGIN;CPD;00000022;0976210B;407
2010-03-12 00:00:00;LAKE VIEW;CPD-Airport;00000023;0976220B;457
2010-03-14 00:00:00;AUSTIN;CPD-Airport;00000024;09;205
2010-03-16 00:00:00;LAKE VIEW;CPD;00000025;09;422
2010-03-18 00:00:00;AUSTIN;CPD-Airport;00000026;0964190;57
2010-03-20 00:00:00;NEAR WEST SIDE;CPD-Airport;00000027;0976220B;171
2010-03-22 00:00:00;AUSTIN;DOF;00000028;0976210B;397
2010-03-24 00:00:00;NEAR WEST SIDE;CPD-Airport;00000029;09;213
2010-03-26 00:00:00;AUSTIN;CPD;0000002a;0976210B;139
2010-03-28 00:00:00;NEAR WEST SIDE;DOF;0000002b;09;185
2010-03-30 00:00:00;AUSTIN;DOF;0000002c;09;235
2010-04-01 00:00:00;BELMONT CRAGIN;CPD;0000002d;09;365
2010-04-03 00:00:00;AUSTIN;CPD;0000002e;0976220B;227
2010-04-05 00:00:00;AUSTIN;DOF;0000002f;0964040B;77
2010-04-07 00:00:00;BELMONT CRAGIN;CPD-Airport;00000030;0976210B;269
2010-04-09 00:00:00;LAKE VIEW;DOF;00000031;0976220B;406
